genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
0;0;5;7;4;0;0;31;Restaurante
0;0;5;7;4;0;0;31;Shopping
0;0;1;7;4;0;0;29;Restaurante
0;0;1;7;4;0;0;29;Parque
0;0;1;7;4;0;0;29;Bar
0;0;1;7;4;0;0;29;OUTROS
0;5;7;7;4;0;0;22;Parque
0;5;7;7;4;0;0;22;Show
0;5;7;7;4;0;0;22;Jogos
0;5;0;7;4;0;0;18;Cinema
0;5;0;7;4;0;0;18;Parque
0;0;6;7;4;0;0;34;Cinema
0;0;6;7;4;0;0;34;Shopping
0;0;6;7;4;0;0;34;Biblioteca
0;0;6;7;4;0;0;34;Jogos
0;0;2;2;4;0;1;38;Cinema
0;0;2;2;4;0;1;38;Restaurante
0;0;2;2;4;0;1;38;Parque
0;0;2;2;4;0;1;38;Shopping
0;0;2;2;4;0;1;38;Show
0;0;2;2;4;0;1;38;Museu
0;0;2;2;4;0;1;38;Biblioteca
0;0;2;2;4;0;1;38;Jogos
0;0;2;2;4;0;1;38;Teatro
0;0;2;2;4;0;1;38;Bar
0;3;0;4;4;0;0;25;Restaurante
0;3;2;4;4;0;0;19;Cinema
0;1;8;7;4;0;1;44;Restaurante
0;1;8;7;4;0;1;44;Parque
0;1;8;7;4;0;1;44;Shopping
0;1;8;7;4;0;1;44;OUTROS
0;0;1;4;4;0;1;32;Restaurante
0;0;1;4;4;0;1;32;Show
7;1;7;4;4;0;1;21;Restaurante
7;1;7;4;4;0;1;21;Parque
7;1;7;4;4;0;1;21;Shopping
3;2;3;2;4;0;1;52;Parque
7;1;2;7;4;0;1;47;OUTROS
7;1;2;7;4;0;1;47;OUTROS
4;4;5;7;4;0;1;47;Cinema
4;4;5;7;4;0;1;47;Restaurante
4;4;5;7;4;0;1;47;Parque
4;4;5;7;4;0;1;47;Show
4;4;5;7;4;0;1;47;Teatro
4;4;5;7;4;0;1;47;Bar
4;1;4;2;4;0;1;44;Cinema
1;5;7;2;4;0;1;44;Restaurante
4;0;5;3;4;0;1;41;Restaurante
3;1;7;2;4;0;1;41;Parque
7;1;3;2;4;0;1;40;Cinema
1;0;1;2;4;0;1;39;Cinema
3;1;7;3;4;0;1;38;Restaurante
3;1;7;3;4;0;1;38;Parque
3;1;7;3;4;0;1;38;Shopping
3;1;7;3;4;0;1;38;OUTROS
7;1;4;2;4;0;1;35;Shopping
4;1;3;7;4;0;1;35;Cinema
4;1;3;7;4;0;1;35;Restaurante
4;1;3;7;4;0;1;35;Parque
3;3;5;7;4;0;0;35;Restaurante
3;3;5;7;4;0;0;35;Parque
3;3;5;7;4;0;0;35;Shopping
3;3;5;7;4;0;0;35;Teatro
4;4;7;1;4;0;0;25;Parque
4;0;0;7;4;0;1;23;Parque
1;1;7;2;4;0;0;16;Restaurante
1;1;7;2;4;0;0;16;Parque
1;1;7;2;4;0;0;16;Shopping
1;1;7;2;4;0;0;16;Museu
1;1;7;2;4;0;0;16;Teatro
4;1;5;2;4;0;0;15;Cinema
4;1;5;2;4;0;0;15;Restaurante
4;1;5;2;4;0;0;15;Jogos
7;1;4;4;4;0;0;23;Parque
7;1;0;4;4;0;0;29;Parque
7;1;0;4;4;0;0;29;Museu
7;1;0;4;4;0;0;29;Biblioteca
7;1;0;4;4;0;0;29;Jogos
4;1;5;2;4;0;0;30;Cinema
4;1;5;2;4;0;0;30;Restaurante
4;1;5;2;4;0;0;30;Shopping
4;1;5;2;4;0;0;30;Biblioteca
4;1;5;2;4;0;0;30;Bar
3;0;2;7;4;0;0;26;Cinema
3;0;2;7;4;0;0;26;Restaurante
3;0;2;7;4;0;0;26;Parque
3;0;2;7;4;0;0;26;Shopping
3;0;2;7;4;0;0;26;Biblioteca
3;0;2;7;4;0;0;26;Teatro
3;0;2;7;4;0;0;26;Bar
2;1;2;4;4;0;0;29;Biblioteca
3;0;2;2;4;0;0;20;Jogos
7;1;2;7;4;0;0;24;Biblioteca
7;1;2;7;4;0;0;24;Teatro
6;5;4;7;4;0;0;13;OUTROS
4;3;4;2;4;0;0;28;Cinema
4;3;4;2;4;0;0;28;Restaurante
7;0;1;4;4;0;0;20;Restaurante
4;0;6;1;4;0;0;22;Cinema
4;0;6;1;4;0;0;22;Restaurante
4;0;6;1;4;0;0;22;Parque
4;0;6;1;4;0;0;22;Shopping
4;0;6;1;4;0;0;22;Museu
4;0;6;1;4;0;0;22;Biblioteca
4;0;6;1;4;0;0;22;Teatro
7;2;3;7;4;0;1;50;OUTROS
3;1;0;7;4;5;1;38;Cinema
3;1;0;7;4;5;1;38;Restaurante
3;1;0;7;4;5;1;38;Parque
3;1;0;7;4;5;1;38;Teatro
7;5;1;4;4;5;1;38;Shopping
0;0;1;7;4;5;0;23;Cinema
0;0;1;7;4;5;0;23;Parque
0;0;1;7;4;5;0;23;Museu
0;0;1;7;4;5;0;23;Jogos
4;2;3;7;4;5;0;20;Cinema
4;2;3;7;4;5;0;20;Restaurante
4;2;3;7;4;5;0;20;Bar
7;1;5;2;4;5;0;18;Cinema
7;1;5;2;4;5;0;18;Parque
7;1;5;2;4;5;0;18;Shopping
7;1;5;2;4;5;0;18;Show
